,q_values,state,action
0,[[1.1906028  1.1394421  0.99558836]],"[ 0.44282401  0.2344386  -0.84051004 -0.97231834  0.          1.
  0.          0.        ]",[1. 0. 0.]
1,[[1.2062477  1.1665272  0.99139667]],"[ 0.55013492  0.31537042 -0.39842506 -0.93771626  0.          1.
  0.          0.        ]",[1. 0. 0.]
2,[[1.2373134  1.2341533  0.97251904]],"[ 0.46098825  0.25888774 -0.47614637 -0.97231834  0.          1.
  0.          0.        ]",[1. 0. 0.]
3,[[1.2147169  1.1848038  0.97147274]],"[ 0.47721266  0.23252715 -0.47614637 -0.99307958  0.          1.
  0.          0.        ]",[1. 0. 0.]
4,[[1.2163292  1.1839656  0.98238313]],"[ 0.49414073  0.22390393 -0.41968034 -0.89619377  0.          1.
  0.          0.        ]",[1. 0. 0.]
5,[[1.1847413 1.1594967 0.964503 ]],"[ 0.42002652  0.20300952 -0.41968034 -0.91695502  0.          1.
  0.          0.        ]",[1. 0. 0.]
6,[[1.1708785 1.1294674 0.9563729]],"[ 0.39518348  0.15980642 -0.65820622 -0.94463668  0.          1.
  0.          0.        ]",[1. 0. 0.]
7,[[1.1686451 1.1113732 0.9720517]],"[ 0.36938358  0.10181992 -0.65820622 -0.99307958  0.          1.
  0.          0.        ]",[1. 0. 0.]
8,[[1.1670282 1.0923864 0.993484 ]],"[ 0.36938358  0.04146289 -0.65820622 -1.          0.          1.
  0.          0.        ]",[1. 0. 0.]
9,[[1.1597162 1.0706446 1.0165082]],"[ 0.36938358 -0.00779471 -0.65820622 -1.          0.          1.
  0.          0.        ]",[1. 0. 0.]
10,[[1.1501207 1.0501937 1.0328603]],"[ 0.36938358 -0.01753401 -0.65820622 -1.          0.          1.
  0.          0.        ]",[1. 0. 0.]
11,[[1.1481444 1.0461316 1.0356244]],"[ 0.36938358 -0.03486326 -0.65820622 -1.          0.          1.
  0.          0.        ]",[1. 0. 0.]
12,[[1.1446435 1.0389217 1.0400075]],"[ 0.36938358 -0.06300265 -0.65820622 -1.          0.          1.
  0.          0.        ]",[1. 0. 0.]
13,[[1.1392775 1.0278007 1.0478605]],"[ 0.33098905 -0.13344158 -0.91998504 -0.99307958  0.          1.
  0.          0.        ]",[1. 0. 0.]
14,[[1.1322769  0.99376076 1.0845969 ]],"[ 0.33098905 -0.15573475 -0.91998504 -1.          0.          1.
  0.          0.        ]",[1. 0. 0.]
15,[[1.13602    0.99166715 1.0974659 ]],"[ 0.289072   -0.19900973 -0.81057228 -0.99307958  0.          1.
  0.          0.        ]",[1. 0. 0.]
16,[[1.121725   0.94950217 1.1093124 ]],"[ 0.289072   -0.06300265 -0.37019731 -0.98615917  0.          1.
  0.          0.        ]",[1. 0. 0.]
17,[[1.1265557 1.0016181 1.0405146]],"[ 0.289072   -0.25012462 -0.37019731 -1.          0.          1.
  0.          0.        ]",[1. 0. 0.]
18,[[1.1361954  0.94299066 1.1326939 ]],"[ 0.289072   -0.25774005 -0.37019731 -1.          0.          1.
  0.          0.        ]",[1. 0. 0.]
19,[[1.1365454  0.94069576 1.1364765 ]],"[-0.06672789 -0.75043854 -0.14672836 -0.97923875  0.          1.
  0.          0.        ]",[1. 0. 0.]
20,[[1.1417072  0.77241635 1.2711055 ]],"[-0.17563369 -0.68803714  0.11051583 -0.97231834  0.00192539  0.
  0.          1.        ]",[0. 0. 1.]
21,[[1.3242809 1.447957  1.3220874]],"[-0.20074407 -0.45214257  0.16457629 -0.99307958  0.          1.
  0.          0.        ]",[0. 1. 0.]
22,[[1.0984538  0.70260894 1.1556492 ]],"[ 0.19263501 -0.18369196 -0.97275897 -0.95847751  0.00182674  0.
  0.          1.        ]",[0. 0. 1.]
23,[[1.2370808 1.3156933 1.2565597]],"[ 0.19263501 -0.03782284 -0.97275897 -1.          0.          1.
  0.          0.        ]",[0. 1. 0.]
24,[[1.1301565 1.0008866 1.0273327]],"[ 0.19263501 -0.02178839 -0.97275897 -1.          0.          1.
  0.          0.        ]",[1. 0. 0.]
25,[[1.1320759 1.0076609 1.0213122]],"[ 0.19263501 -0.00701781 -0.97275897 -1.          0.          1.
  0.          0.        ]",[1. 0. 0.]
26,[[1.134051  1.0145038 1.0162929]],"[ 0.19263501  0.00786221 -0.97275897 -1.          0.          1.
  0.          0.        ]",[1. 0. 0.]
27,[[1.1366076 1.0207787 1.0116774]],"[ 0.15043089 -0.00391856 -0.80675469 -0.99307958  0.          1.
  0.          0.        ]",[1. 0. 0.]
28,[[1.1310066 1.0058817 1.0057051]],"[-0.11835939 -0.21926156 -0.01688546 -0.98615917  0.          1.
  0.          0.        ]",[1. 0. 0.]
29,[[1.09532   0.8020693 1.0627681]],"[-0.11835939 -0.26083112 -0.01688546 -1.          0.          1.
  0.          0.        ]",[1. 0. 0.]
30,[[1.1006258  0.79963404 1.0849231 ]],"[ 0.03323366 -0.14173561 -0.55134392 -0.97923875  0.          1.
  0.          0.        ]",[1. 0. 0.]
31,[[1.105494   0.91074777 1.0456024 ]],"[-0.48166361 -0.60974426  0.45766869 -0.97231834  0.          1.
  0.          0.        ]",[1. 0. 0.]
32,[[1.0451896 0.5566337 1.1075494]],"[-0.34765779 -0.57042393  0.49941089 -0.94463668  0.00186509  0.
  0.          1.        ]",[0. 0. 1.]
33,[[1.2307609 1.2950445 1.234264 ]],"[-0.31458317 -0.36268664  0.39879547 -0.89619377  0.          1.
  0.          0.        ]",[0. 1. 0.]
34,[[1.0338036 0.5861661 1.0663234]],"[-0.38478951 -0.22640742 -0.67914474 -0.95847751  0.00194098  0.
  0.          1.        ]",[0. 0. 1.]
35,[[1.1971037 1.2626772 1.236938 ]],"[ 0.04931458 -0.11025791 -0.67914474 -0.93771626  0.          1.
  0.          0.        ]",[0. 1. 0.]
36,[[1.0941743  0.91630155 1.0202672 ]],"[-0.07767811 -0.1135838  -0.67914474 -0.97231834  0.          1.
  0.          0.        ]",[1. 0. 0.]
37,[[1.1005322 0.9120385 1.0187958]],"[-0.22380478 -0.17783231 -0.15611407 -0.91695502  0.          1.
  0.          0.        ]",[1. 0. 0.]
38,[[1.063175   0.77807564 1.0172751 ]],"[-0.20114854 -0.13008786 -0.43929621 -0.9100346   0.          1.
  0.          0.        ]",[1. 0. 0.]
39,[[1.0568537  0.82275623 0.994292  ]],"[-0.20114854 -0.17944156 -0.17036044 -0.94463668  0.          1.
  0.          0.        ]",[1. 0. 0.]
40,[[1.0741771 0.7978149 1.0260959]],"[-0.2464357  -0.23324813 -0.17036044 -0.93079585  0.          1.
  0.          0.        ]",[1. 0. 0.]
41,[[1.0649456  0.76775515 1.0422056 ]],"[-0.2464357  -0.20249262 -0.25569774 -0.94463668  0.          1.
  0.          0.        ]",[1. 0. 0.]
42,[[1.0663308 0.7913733 1.0290173]],"[ 0.38865912  0.16189617 -0.34266351 -0.90311419  0.          1.
  0.          0.        ]",[1. 0. 0.]
43,[[1.1501169  1.0966034  0.95875365]],"[ 0.04465185  0.06605887 -0.29190667 -0.88235294  0.          1.
  0.          0.        ]",[1. 0. 0.]
44,[[1.0629964 0.9262881 0.9289734]],"[ 0.0165957  -0.18325205 -0.34970852 -0.93771626  0.          1.
  0.          0.        ]",[1. 0. 0.]
45,[[1.0912328 0.8718868 1.055995 ]],"[-0.05619755 -0.27911912 -0.87343591 -0.97231834  0.          1.
  0.          0.        ]",[1. 0. 0.]
46,[[1.101965   0.87310296 1.1074843 ]],"[ 0.119886   -0.11736349 -0.8316717  -0.95155709  0.00179695  0.
  0.          1.        ]",[0. 0. 1.]
47,[[1.1898146 1.2598614 1.2174464]],"[ 0.05195827 -0.08178993 -0.70045199 -0.92387543  0.          1.
  0.          0.        ]",[0. 1. 0.]
48,[[1.0900456 0.9229062 1.0044185]],"[ 0.05195827 -0.05149108 -0.61163913 -0.97923875  0.          1.
  0.          0.        ]",[1. 0. 0.]
49,[[1.1137781  0.95683485 1.0087143 ]],"[-0.07779024 -0.26316401 -0.41070536 -0.91695502  0.          1.
  0.          0.        ]",[1. 0. 0.]
50,[[1.0767057 0.8169456 1.0765817]],"[ 0.0860475  -0.35881093 -0.2116485  -0.93079585  0.          1.
  0.          0.        ]",[1. 0. 0.]
51,[[1.1080577 0.824698  1.152045 ]],"[-0.00520624 -0.29221159 -0.2116485  -0.98615917  0.00197162  0.
  0.          1.        ]",[0. 0. 1.]
52,[[1.1971397 1.2853153 1.2313784]],"[-0.07235793 -0.32779969 -0.13190798 -0.97923875  0.          1.
  0.          0.        ]",[0. 1. 0.]
53,[[1.1063962  0.80838645 1.1228198 ]],"[-0.13522344 -0.076174   -0.18640437 -0.89619377  0.00195669  0.
  0.          1.        ]",[0. 0. 1.]
54,[[1.1004688 1.159338  1.0967376]],"[ 0.31673874  0.27083289 -0.18640437 -0.99307958  0.          1.
  0.          0.        ]",[0. 1. 0.]
55,[[1.1629119 1.1316446 0.9196199]],"[ 0.18156518  0.05491539 -0.91354018 -0.95847751  0.          1.
  0.          0.        ]",[1. 0. 0.]
56,[[1.1280113 1.017918  0.9844625]],"[ 0.1196727   0.4074431  -0.09254678 -0.97923875  0.          1.
  0.          0.        ]",[1. 0. 0.]
57,[[1.1552219 1.0797303 0.8883297]],"[ 0.25410538 -0.20256239 -0.78786603 -0.94463668  0.          1.
  0.          0.        ]",[1. 0. 0.]
58,[[1.0983372 0.9165332 1.0935285]],"[ 0.12299929 -0.10981028 -0.78786603 -0.93771626  0.          1.
  0.          0.        ]",[1. 0. 0.]
59,[[1.0978924 0.9287624 1.0322737]],"[ 0.1679381  -0.29034831 -0.68810577 -0.94463668  0.          1.
  0.          0.        ]",[1. 0. 0.]
60,[[1.0952426 0.8706214 1.1230754]],"[ 0.19547451  0.03777027 -0.75115226 -0.93079585  0.00187294  0.
  0.          1.        ]",[0. 0. 1.]
