,date,open,high,low,close,volume,tic
0,2020.09.07,1.32115,1.32121,1.32102,1.32114,41,GBPUSD
1,2020.09.07,1.32114,1.32114,1.32092,1.32105,33,GBPUSD
2,2020.09.07,1.32105,1.32113,1.32071,1.32073,47,GBPUSD
3,2020.09.07,1.32073,1.32076,1.32059,1.32073,28,GBPUSD
4,2020.09.07,1.3207200000000001,1.3208,1.32057,1.32061,41,GBPUSD
5,2020.09.07,1.32055,1.3207,1.32046,1.3205799999999999,26,GBPUSD
6,2020.09.07,1.3205799999999999,1.32059,1.32015,1.32026,31,GBPUSD
7,2020.09.07,1.32026,1.3205200000000001,1.32026,1.3205200000000001,24,GBPUSD
8,2020.09.07,1.3205,1.32054,1.32034,1.32043,26,GBPUSD
9,2020.09.07,1.32041,1.32045,1.32031,1.3203200000000002,26,GBPUSD
10,2020.09.07,1.3203200000000002,1.32033,1.31978,1.32009,65,GBPUSD
11,2020.09.07,1.32009,1.32015,1.3199299999999998,1.32003,44,GBPUSD
12,2020.09.07,1.32002,1.3205200000000001,1.31995,1.32047,95,GBPUSD
13,2020.09.07,1.3204799999999999,1.32071,1.32043,1.32044,49,GBPUSD
14,2020.09.07,1.32044,1.32053,1.32006,1.32007,40,GBPUSD
15,2020.09.07,1.32007,1.3205200000000001,1.32007,1.3204799999999999,47,GBPUSD
16,2020.09.07,1.32047,1.32055,1.32033,1.32041,38,GBPUSD
17,2020.09.07,1.32041,1.32069,1.3204,1.3205799999999999,47,GBPUSD
18,2020.09.07,1.3205799999999999,1.3208,1.32039,1.32049,41,GBPUSD
19,2020.09.07,1.32049,1.32079,1.32049,1.32064,32,GBPUSD
20,2020.09.07,1.32064,1.32071,1.32044,1.3206,39,GBPUSD
21,2020.09.07,1.3206,1.32089,1.3206,1.32079,33,GBPUSD
22,2020.09.07,1.32079,1.3209,1.32063,1.3206799999999999,51,GBPUSD
23,2020.09.07,1.3206799999999999,1.3208799999999998,1.32065,1.32079,32,GBPUSD
24,2020.09.07,1.32079,1.32103,1.32079,1.3209799999999998,21,GBPUSD
25,2020.09.07,1.3209799999999998,1.32107,1.3207799999999998,1.32104,35,GBPUSD
26,2020.09.07,1.32104,1.32111,1.32095,1.3209899999999999,56,GBPUSD
27,2020.09.07,1.321,1.32114,1.32083,1.32083,48,GBPUSD
28,2020.09.07,1.3208,1.32083,1.3206799999999999,1.32079,52,GBPUSD
29,2020.09.07,1.32079,1.32081,1.32059,1.32074,46,GBPUSD
30,2020.09.07,1.32071,1.32087,1.32065,1.32084,44,GBPUSD
31,2020.09.07,1.32084,1.32093,1.32082,1.3208799999999998,44,GBPUSD
32,2020.09.07,1.3208799999999998,1.32089,1.32071,1.32081,38,GBPUSD
33,2020.09.07,1.32081,1.3208799999999998,1.32077,1.3208,30,GBPUSD
34,2020.09.07,1.3208,1.32125,1.3208,1.32121,50,GBPUSD
35,2020.09.07,1.32121,1.32171,1.32118,1.32169,58,GBPUSD
36,2020.09.07,1.32169,1.32198,1.3216700000000001,1.32195,60,GBPUSD
37,2020.09.07,1.32195,1.3222399999999999,1.32195,1.32199,60,GBPUSD
38,2020.09.07,1.32199,1.3220299999999998,1.32181,1.3218299999999998,44,GBPUSD
39,2020.09.07,1.3218299999999998,1.32215,1.3218299999999998,1.3221,52,GBPUSD
40,2020.09.07,1.3221,1.32229,1.32194,1.32205,54,GBPUSD
41,2020.09.07,1.32205,1.3223200000000002,1.32205,1.32207,53,GBPUSD
42,2020.09.07,1.32207,1.32244,1.32207,1.32209,59,GBPUSD
43,2020.09.07,1.3221399999999999,1.32233,1.3220399999999999,1.32223,72,GBPUSD
44,2020.09.07,1.3222399999999999,1.32254,1.3222,1.32254,50,GBPUSD
45,2020.09.07,1.32254,1.32263,1.32253,1.32255,41,GBPUSD
46,2020.09.07,1.32255,1.32255,1.32197,1.3222,63,GBPUSD
47,2020.09.07,1.32218,1.32223,1.32208,1.32208,52,GBPUSD
48,2020.09.07,1.32208,1.32223,1.32195,1.32207,57,GBPUSD
49,2020.09.07,1.32207,1.32209,1.32161,1.32161,68,GBPUSD
50,2020.09.07,1.32158,1.32181,1.32152,1.3215700000000001,59,GBPUSD
51,2020.09.07,1.3216299999999999,1.32189,1.3216299999999999,1.32181,53,GBPUSD
52,2020.09.07,1.32181,1.32208,1.3217700000000001,1.32205,68,GBPUSD
53,2020.09.07,1.32205,1.3221,1.32196,1.3220299999999998,43,GBPUSD
54,2020.09.07,1.32198,1.3221,1.3218,1.32188,53,GBPUSD
55,2020.09.07,1.32187,1.3219299999999998,1.32184,1.3219,31,GBPUSD
